hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI
0,4,33,37,41,2,70.47
1,4,32,36,36,2,70.47
2,4,32,35,39,2,75.49
3,4,32,39,40,3,86.89
4,4,31,36,38,2,80.92
5,4,31,40,38,2,86.79
6,4,41,41,39,1,86.68
7,4,55,45,48,1,86.68
8,4,68,54,65,4,86.99
9,4,67,47,65,4,70.88
10,4,58,70,60,5,71.07
11,4,84,97,80,4,62
12,4,99,99,89,4,58.03
13,4,107,96,101,3,54.08
14,4,108,105,104,2,50.36
15,4,116,120,110,3,50.65
16,4,128,124,123,3,54.08
17,4,130,130,138,2,53.81
18,4,139,141,144,2,57.51
19,4,154,151,154,2,61.51
20,4,168,168,174,3,66.05
21,4,184,183,189,3,70.67
22,4,186,171,184,3,70.67
23,4,184,173,184,3,75.67
